number,gender,age_range,target_group,dependents,main_economic_activity,aware_of_sct,sct_information_source,sct_beneficiary,benefited_sct_in_year,sct_imp_money_per_disbursement,sct_imp_impact_vulnerable_groups,sct_imp_impact_nutrition_status,sct_imp_health_benefits,sct_imp_enhanced_education,sct_imp_how_funds_spent
0,female,41_45_years,disabled,4,agriculture,yes,chiefs,yes,3_5_times,k360,able to take children to school and able to buy enough food.,able to buy food for the family,Able to take children to clinic and buy medicine.,buy shoes and books for children,buy enough food and glosaries
1,male,20_20_years,disabled,0,agriculture,yes,through_a_friend,yes,3_5_times,k360,able to buy a goat,able to buy good food,there has been no enough benefits as the money is too little.,"take children to school, buy uniforms anf books",buying a goat.
2,male,65_and_above,disabled,1,agriculture,yes,through_a_friend,yes,3_5_times,k360,able to buy goats and chickens,the family is able to buy enough food for everyone,family able to buy medication.,able to buy uniforms and books for children,buy food and animals.
3,male,51_55_years,disabled,6,agriculture,yes,other,yes,3_5_times,k360,able to buy farming inputs,able to buy nutritious foods for the family,able to buy medicines,buy school uniforms though the money is too small.,support the family.
4,female,65_and_above,disabled,5,agriculture,yes,chiefs,yes,3_5_times,k360,able to buy goats and brankets,able to buy nutritious foods.,able to support with medication when there is need,some children not going to school because thr funds are too little.,buy goats.
5,female,20_20_years,disabled,3,agriculture,yes,chiefs,yes,3_5_times,k360,able to support the family,able to buy nutritious food for the family,able to buy medicines,help to buy uniforms and books for children,use it to buy food for family
6,female,20_20_years,disabled,4,agriculture,yes,through_the_radiotelevision,yes,3_5_times,k360,managed to buy animals and farming inputs,manages to buy nutritious food for the family,manage to buy medicines when there is need.,with the disability fail to take children to school,manage to buy food and farming inputs
7,male,41_45_years,disabled,2,agriculture,yes,chiefs,yes,3_5_times,k360,managed to build a latrine and bought a pig.,able to buy food for the family,manage to buy medicine when there is need.,manage to support children to school,"buying of a pig, chickens and groceries"
8,female,46_50_years,disabled,3,agriculture,yes,chiefs,yes,3_5_times,k360,manages to support the family  with food and farming inputs,manages to provide food for the family,buy mrdicine when there is need,support school going children,buy food and support school children
9,female,65_and_above,elderly,5,agriculture,yes,chiefs,yes,3_5_times,k180,managed to  buy small animals and blankets for 4th e family,the money is not enough to support the nutrition of the family,SCT does not help in health care because the money is too small.,lack of support for school going children,used to buy goats and chickens
10,female,65_and_above,elderly,3,agriculture,yes,other,yes,3_5_times,k180,managed to build a house and start up a business,been able to buy food for the family,manages to buy medicine when there is need,able to take children to school including a college student,for building a house and support school going children
11,male,65_and_above,elderly,0,agriculture,yes,chiefs,yes,3_5_times,k180,managed  to buy small animals like goats,the money is not enough to buy food for the family,the funds are not enough to spend on health care,no children goes to school,been able to buy a goat
12,female,31_35_years,widowedfemale_headed,3,agriculture,yes,through_a_friend,yes,3_5_times,k180,"managing yo take children to school,buy food and buy assets like small animals",able to provide nutritious food for the family,buying of medicines when there is need,"able to support school hoing children with books, uniforms and enough food.",support children and buying food
13,female,65_and_above,widowedfemale_headed,4,agriculture,yes,chiefs,yes,3_5_times,k180,"managed to buy (goats, pigs and chickens)",able to buy food for the family,manages to buy food for the family.,"buying of books, school fee as well as shoes for children",spends on school going children and food for the family
14,female,46_50_years,disabled,5,agriculture,yes,through_a_friend,yes,3_5_times,k360,It has helped in providing food for the family(buying of goats and food),SCT has helps family to provide nutritous foods for the family,helps to buy medicine and hospital expenses,helps to buy uniforms and books for children,buying of small animals and food for the family
15,male,41_45_years,disabled,5,agriculture,yes,chiefs,yes,3_5_times,k360,able to buy small animals like goats and pigs,able to provide nutritious foods for the family,use it for medicines and hospital expenses,buying of uniforms and books for school,buying of small animals (goats and pigs) at home
16,female,65_and_above,elderly,3,agriculture,yes,chiefs,yes,3_5_times,k180,Managed to take the children to school and buy household commodities.,Have been able to buy nutritious foods.,Have been able to buy medicine.,Have been able to take the children to school.,Support the children to school and buy household commodities.
17,male,65_and_above,elderly,12,agriculture,yes,chiefs,yes,3_5_times,k180,manages to buy small animals like goats and pigs as well as grosaries,manages to provide nutritious food for the family,manages to buy medicines when there is need,the children seven of the children are in school and are able to buy school requirements.,"used for school going children, buying of food as well as buying small animals to keep"
18,female,65_and_above,elderly,3,agriculture,yes,chiefs,yes,3_5_times,k180,"Have been to buy goats, built a house and a toilet.",No impact has been seen because the money is not enough.,Have been able to buy medicine.,Chidren are able to go to school.,Helped in the buying of goats and building the house.
19,female,65_and_above,elderly,2,agriculture,yes,through_a_friend,yes,3_5_times,k180,managed to build a house and a latrine.,able to buy good food for the family,uses it to buy medicines ans other hospital bills when there is need,"being able to buy books, shoes and uniforms for children.",uses it to buy food and for school going children
20,male,65_and_above,disabled,8,agriculture,yes,chiefs,yes,3_5_times,k360,able to buy gosts and chickens,the nutrition is bad mobey is too small,there has been no health benefit.,children fail to go to school.,buying of chickens snd goats.
